"","x"
"1","date"
"2","grab_time_influent_mgd_hourly_avg"
"3","grab_time_influent_mgd_daily_avg"
"4","grab_time_primary_sludge_gpm"
"5","grab_time_primary_sludge_gal"
"6","grab_time_thickened_sludge_gpm"
"7","grab_time_thickened_sludge_gal"
"8","grab_time_gvt_o_f_gpm"
"9","grab_.time_centrate_gal"
"10","grab_time_daft_sub_gpm"
"11","grab_time_daft_sub_gal"
"12","grab_time_abi_mgd"
"13","grab_time_ras_gpm"
"14","grab_time_mlws_flow_gpm"
"15","grab_time_twas_flow_gmp_hourly_avg"
"16","grab_time_effluent_mgd"
"17","coagulant"
"18","flow_gal_day"
"19","flow_avg_ppmv"
"20","solution_mass_lbs_day"
"21","salt_mass_kg_day"
"22","mols_of_metal_kmol_day"
"23","influent_mgd_hourly_avg"
"24","influent_mgd_daily_avg"
"25","primary_sludge_gmp_hourly_avg"
"26","primary_sludge_gmp_daily_avg"
"27","primary_sludge_gal"
"28","thickened_sludge_gpm"
"29","thickened_sludge_gal"
"30","gvt_o_f_gpm"
"31","centrate_gal"
"32","daft_sub_gpm"
"33","daft_sub_gal"
"34","abi_mgd"
"35","ras_gpm"
"36","mlws_flow_gpm"
"37","twas_flow_gpm_hourly_avg"
"38","twas_flow_gpm_daily_avg"
"39","twas_flow_gal"
"40","effluent_mgd"
"41","aq_composite_influent_tss_mg_l"
"42","aq_composite_influent_vss_mg_l"
"43","aq_composite_influent_tp_mg_tp_l"
"44","aq_composite_influent_op_mg_op_l"
"45","aq_composite_influent_alk_mg_l_caco3"
"46","aq_composite_influent_total_iron_mg_fe_l"
"47","aq_composite_influent_sol_iron_mg_fe_l"
"48","aq_composite_abi_tss_mg_l"
"49","aq_composite_abi_vss_mg_l"
"50","aq_composite_abi_tp_mg_tp_l"
"51","aq_composite_abi_op_mg_op_l"
"52","aq_composite_abi_total_iron_mg_fe_l"
"53","aq_composite_abi_sol_iron_mg_fe_l"
"54","aq_composite_effluent_tss_mg_l"
"55","aq_composite_effluent_tp_mg_tp_l"
"56","aq_composite_effluent_op_mg_op_l"
"57","aq_composite_effluent_total_iron_mg_fe_l"
"58","aq_composite_effluent_sol_iron_mg_fe_l"
"59","aq_grab_ab2_zone_7_mixed_liquor_tss_mg_l"
"60","aq_grab_ab2_zone_7_mixed_liquor_vss_mg_l"
"61","aq_grab_ab2_zone_7_mixed_liquor_tp_mg_tp_l"
"62","aq_grab_ab2_zone_7_mixed_liquor_op_mg_op_l"
"63","aq_grab_ab2_zone_7_mixed_liquor_total_iron_mg_fe_l"
"64","aq_grab_ab2_zone_7_mixed_liquor_sol_iron_mg_fe_l"
"65","aq_grab_mixed_liqour_wasting_station_tss_mg_l"
"66","aq_grab_mixed_liquor_wasting_station_vss_mg_l"
"67","aq_grab_mixed_liquor_wasting_station_tp_mg_tp_l"
"68","aq_grab_mixed_liquor_wasting_station_op_mg_op_l"
"69","aq_grab_mixed_liquor_wasting_station_alk_mg_l_caco3"
"70","aq_grab_mixed_liquor_wasting_station_total_iron_mg_fe_l"
"71","aq_grab_mixed_liquor_wasting_station_sol_iron_mg_fe_l"
"72","aq_grab_solids_contact_effluent_time"
"73","aq_grab_solids_contact_effluent_tss_mg_l"
"74","aq_grab_solids_contact_effluent_vss_mg_l"
"75","aq_grab_solids_contact_effluent_tp_mg_tp_l"
"76","aq_grab_solids_contact_effluent_op_mg_op_l"
"77","aq_grab_solids_contact_effluent_alk_mg_l_caco3"
"78","aq_grab_solids_contact_effluent_total_iron_mg_fe_l"
"79","aq_grab_solids_contact_effluent_sol_iron_mg_fe_l"
"80","aq_grab_ras_from_splitting_structure_tss_mg_l"
"81","aq_grab_ras_from_splitting_structure_vss_mg_l"
"82","aq_grab_ras_from_splitting_structure_tp_mg_tp_l"
"83","aq_grab_ras_from_splitting_structure_op_mg_op_l"
"84","aq_grab_ras_from_splitting_structure_total_iron_mg_fe_l"
"85","aq_grab_ras_from_splitting_structure_sol_iron_mg_fe_l"
"86","aq_grab_gravity_thickener_overflow_tss_mg_l"
"87","aq_grab_gravity_thickener_overflow_vss_mg_l"
"88","aq_grab_gravity_thickener_overflow_tp_mg_tp_l"
"89","aq_grab_gravity_thickener_overflow_op_mg_op_l"
"90","aq_grab_gravity_thickener_overflow_total_iron_mg_fe_l"
"91","aq_grab_gravity_thickener_overflow_sol_iron_mg_fe_l"
"92","aq_grab_daft_subnatant_tss_mg_l"
"93","aq_grab_daft_subnatant_vss_mg_l"
"94","aq_grab_daft_subnatant_tp_mg_tp_l"
"95","aq_grab_daft_subnatant_op_mg_op_l"
"96","aq_grab_daft_subnatant_total_iron_mg_fe_l"
"97","aq_grab_daft_subnatant_sol_iron_mg_fe_l"
"98","aq_grab_centrate_tss_mg_l"
"99","aq_grab_centrate_tp_mg_tp_l"
"100","aq_grab_centrate_op_mg_op_l"
"101","aq_grab_centrate_total_iron_mg_fe_l"
"102","aq_grab_centrate_sol_iron_mg_fe_l"
"103","so_grab_digester_feed_twas_tp_mg_tp_l"
"104","so_grab_digester_feed_twas_op_mg_op_l"
"105","so_grab_digester_feed_twas_ts_pct_solids"
"106","so_grab_digester_feed_twas_vs_pct_volatile"
"107","so_grab_digester_feed_twas_total_iron_mg_fe_l"
"108","so_grab_digester_feed_twas_sol_iron_mg_fe_l"
"109","so_grab_digester_feed_tps_tp_mg_tp_l"
"110","so_grab_digester_feed_tps_op_mg_op_l"
"111","so_grab_digester_feed_tps_ts_pct_solids"
"112","so_grab_digester_feed_tps_vs_pct_volatile"
"113","so_grab_digester_feed_tps_total_iron_mg_fe_l"
"114","so_grab_digester_feed_tps_sol_iron_mg_fe_l"
"115","so_grab_primary_digester_effluent_tp_mg_tp_l"
"116","so_grab_primary_digester_effluent_op_mg_op_l"
"117","so_grab_primary_digester_effluent_ts_pct_solids"
"118","so_grab_primary_digester_effluent_vs_pct_volatile"
"119","so_grab_primary_digester_effluent_total_iron_mg_fe_l"
"120","so_grab_primary_digester_effluent_sol_iron_mg_fe_l"
"121","so_grab_primary_digester_effluent_ph"
"122","so_grab_primary_digester_effluent_nh3_mg_n_l"
"123","so_grab_primary_digester_effluent_ca_mg"
"124","so_grab_primary_digester_effluent_mg_mg_l"
"125","so_grab_secondary_digester_effluent_tp_mg_tp_l"
"126","so_grab_secondary_digester_effluent_op_mg_op_l"
"127","so_grab_secondary_digester_effluent_ts_pct_solids"
"128","so_grab_secondary_digester_effluent_vs_pct_volatile"
"129","so_grab_secondary_digester_effluent_total_iron_mg_fe_l"
"130","so_grab_secondary_digester_effluent_sol_iron_mg_fe_l"
"131","so_grab_secondary_digester_effluent_ph"
"132","so_grab_secondary_digester_effluent_nh3_mg_n_l"
"133","so_grab_secondary_digester_effluent_ca_mg"
"134","so_grab_secondary_digester_effluent_mg_mg_l"
"135","op_mg_p_l"
"136","delta_pct"
"137","detla_mg_p_l"
"138","op_conc_mg_p_l"
"139","totalized_influent_mgd_hourly_avg"
"140","totalized_influent_mgd_daily_avg"
"141","totalized_primary_sludge_gpm_daily_avg"
"142","totalized_primary_sludge_est_daily_gal"
"143","totalized_primary_sludge_pct_diff_est_thick"
"144","totalized_primary_sludge_daily_gal"
"145","totalized_thickened_sludge_gpm"
"146","totalized_thickened_sludge_gal"
"147","totalized_gvt_o_f_gpm"
"148","totalized_gvt_o_f_gal"
"149","totalized_centrate_gal"
"150","totalized_daft_sub_gal"
"151","totalized_abi_gpm"
"152","totalized_ras_gpm"
"153","totalized_mlws_flow_gpm"
"154","totalized_twas_flow_gpm"
"155","totalized_twas_flow_gpd"
"156","totalized_twas_flow_tps_corr"
"157","totalized_effluent_mgd"
